x1,y1,z1,count
18,614,0.8419374999999999,1
22,616,0.1,1
16,617,0.27668750000000003,1
11,617,0.5379375000000001,1
18,617,0.8383750000000001,1
13,618,0.8170000000000001,1
12,620,0.23987499999999998,1
16,622,1,1
11,622,0.532,1
5,624,0.1,1
17,624,0.7885,1
23,626,0.1,1
11,626,0.52725,1
15,626,0.6863750000000001,1
15,629,0.6828125,1
27,630,0.1,1
14,631,0.7303125,1
21,633,0.5450625,1
16,633,0.9369375,1
13,634,0.7979999999999999,1
12,634,0.22325000000000003,1
13,635,0.7968125,1
15,637,0.6733125,1
21,638,0.539125,1
11,640,0.510625,1
19,641,0.37762500000000004,1
16,641,0.9274375,1
15,641,0.6685625000000001,2
14,642,0.7172499999999999,1
10,643,0.890625,1
14,643,0.7160625,1
14,644,0.7148749999999999,1
13,645,0.7849375000000001,1
17,646,0.762375,1
11,647,0.5023125,2
17,647,0.7611875,1
14,648,0.710125,1
18,648,0.8015625,1
13,648,0.781375,1
11,648,0.501125,1
12,649,1,1
25,650,0.1,1
18,650,0.7991875,1
19,653,0.36337500000000006,1
11,653,0.49518750000000006,1
15,655,0.6519375,1
17,658,0.748125,1
7,659,0.1,1
14,661,0.6946875,1
