,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
9400,0,0,0,0,0,0,427,301,73,49,357,527,216,328,273,245,157,444,0,106,409,23,130,462,816,0,0,0,379,187,0,0,0
9500,0,0,0,0,0,0,437,311,83,59,367,6,226,338,283,255,167,454,0,116,419,33,140,472,826,0,0,0,389,197,0,0,0
9600,0,0,0,0,0,0,447,321,93,69,377,16,236,348,293,265,177,464,0,126,429,43,150,482,836,0,0,0,399,207,0,0,0
9700,0,0,0,0,0,0,457,331,103,79,387,26,246,358,303,275,187,474,0,136,439,53,160,492,846,0,0,0,409,217,0,0,0
9800,0,0,0,0,0,0,467,341,113,89,397,36,256,368,313,285,197,484,0,146,449,63,170,502,856,0,0,0,419,227,0,0,0
9900,0,0,0,0,0,0,477,351,123,99,407,46,266,378,323,295,207,494,9,156,459,73,180,512,866,0,0,0,429,237,0,0,0
10000,0,0,0,0,0,0,487,361,133,109,417,56,276,388,333,305,217,504,19,166,469,83,190,522,876,0,0,0,439,247,0,0,0
10100,0,0,0,0,0,0,497,371,143,119,427,66,286,398,343,315,227,514,29,176,479,93,200,4,886,0,0,0,449,257,0,0,0
10200,0,0,0,0,0,0,507,381,153,129,437,76,296,408,353,325,237,524,39,186,489,103,210,14,896,0,0,0,459,267,0,0,0
10300,0,0,0,0,0,0,517,391,163,139,447,86,306,418,363,335,247,534,49,196,499,113,220,24,906,0,0,0,469,277,0,0,0
10400,0,0,0,0,0,0,527,401,173,149,457,96,316,428,373,345,257,9,59,206,509,123,230,34,916,0,0,0,479,287,0,0,0
10500,0,0,0,0,0,0,537,411,183,159,467,106,326,438,383,355,267,19,69,216,519,133,240,44,926,0,0,0,489,297,0,0,0
10600,0,0,0,0,0,0,547,421,193,169,477,116,336,448,393,365,277,29,79,226,529,143,250,54,936,10,0,0,499,307,0,0,0
10700,0,0,0,0,0,0,557,431,203,179,487,126,346,458,403,375,287,39,89,236,539,153,260,64,946,20,0,0,509,317,0,0,0
10800,0,0,0,0,0,0,567,441,213,189,497,136,356,468,413,385,297,49,99,246,549,163,270,74,956,30,0,0,519,327,0,0,0
